EpsA,EpsR,WallClockTime
5e-05,0.005,649489
0.005,5e-06,612686
0.001,1e-06,653266
0.0001,0.005,638507
1e-05,0.01,640687
5e-06,5e-06,1389914
0.0001,0.001,656457
0.01,5e-06,609972
0.001,0.0005,626780
5e-05,0.0001,743200
0.0005,1e-05,668003
0.001,0.0001,634916
1e-06,0.005,713825
1e-05,5e-06,1162510
5e-06,0.01,635153
0.005,5e-05,616626
0.001,1e-05,625831
1e-05,0.0001,841023
1e-06,1e-05,1535359
1e-06,1e-06,2741630
1e-06,5e-06,1817852
1e-05,0.0005,708201
0.005,1e-05,601054
0.0001,0.0005,676027
0.0005,0.01,619689
0.0001,0.0001,732594
5e-06,1e-06,1594458
0.0001,1e-05,753275
0.005,0.005,610257
0.01,0.0005,602451
5e-05,0.01,651938
5e-05,0.0005,691703
1e-06,5e-05,1013312
0.0005,5e-06,654654
0.001,0.001,621745
0.0005,0.0005,637024
1e-06,0.01,650070
0.005,0.01,599849
5e-05,1e-05,811662
5e-06,0.0001,874686
1e-05,1e-05,1101036
0.005,0.0001,623997
5e-06,1e-05,1248773
0.005,0.0005,610623
0.001,5e-05,623966
1e-05,0.005,618808
5e-06,0.0005,733305
0.001,5e-06,630807
1e-06,0.0001,924012
0.0001,0.01,639626
0.0005,0.001,630764
0.0001,5e-05,754221
0.0005,1e-06,699014
0.01,0.001,612231
0.01,1e-06,607738
5e-05,1e-06,831350
1e-05,0.001,664810
0.01,5e-05,604390
0.0001,5e-06,772424
5e-05,5e-06,824031
0.01,1e-05,600478
1e-05,5e-05,897840
0.0005,0.0001,660966
5e-06,0.005,661453
0.005,1e-06,611066
0.01,0.01,606913
0.01,0.005,592087
1e-06,0.001,705362
1e-05,1e-06,1245762
5e-05,0.001,675189
0.001,0.005,616029
5e-06,0.001,681415
5e-05,5e-05,789230
0.005,0.001,605294
0.0005,5e-05,655511
1e-06,0.0005,746386
0.001,0.01,608725
5e-06,5e-05,933891
0.0005,0.005,631411
0.01,0.0001,611193
0.0001,1e-06,745622
